NAME,TEAM,FTM_AVG,SET_EASY,TIER_EASY,SERIES_EASY,PLAY_EASY,COUNT_EASY,LOW_ASK_EASY,4HCHANGE %,SET_HARD,TIER_HARD,SERIES_HARD,PLAY_HARD,COUNT_HARD,LOW_ASK_HARD,4HCHANGE%
Wendell Carter Jr.,ORL,2.03,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,2,Dunk,12000,28.00,3.70
Keldon Johnson,SAS,2.02,Base Set,Common,3,Dunk,60000,2.00,-33.33,Base Set,Common,2,Dunk,12000,19.00,-5.00
Malik Newman,CLE,2.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
James Ennis III,LAC,2.00,Base Set,Common,2,Layup,12000,13.00,0.00,Base Set,Common,2,Layup,12000,13.00,0.00
Jeff Green,DEN,2.00,Base Set,Common,3,Layup,60000,2.00,-33.33,Base Set,Common,2,Dunk,12000,8.00,-11.11
Goran Dragic,TOR,2.00,Base Set,Common,2,Layup,40000,4.00,0.00,Base Set,Common,1,Layup,1611,53.00,0.00
Frank Kaminsky,PHX,2.00,Base Set,Common,3,Layup,12000,9.00,0.00,Base Set,Common,3,Layup,12000,9.00,0.00
Brandon Williams,POR,2.00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Terry Rozier,CHA,1.97,Base Set,Common,2,Layup,35000,8.00,0.00,Throwdowns,Rare,2,Dunk,1800,130.00,4.00
Dejounte Murray,SAS,1.93,Base Set,Common,2,3 Pointer,40000,9.00,-10.00,Base Set,Common,1,Layup,3999,140.00,5.26
Donte DiVincenzo,MIL,1.90,Base Set,Common,2,Layup,40000,6.00,-14.29,Base Set,Common,1,Dunk,3999,46.00,2.22
Bismack Biyombo,PHX,1.89,Base Set,Common,2,Layup,15000,37.00,-13.95,Base Set,Common,1,Dunk,3999,79.00,23.44
Myles Turner,IND,1.88,Base Set,Common,2,Block,40000,4.00,0.00,Base Set,Common,1,Dunk,3999,47.00,0.00
Kyrie Irving,BKN,1.86,Base Set,Common,2,Jump Shot,40000,8.00,0.00,2021 All-Star Game,Rare,2,Dunk,2021,279.00,0.00
Jrue Holiday,MIL,1.83,Base Set,Common,2,Layup,35000,7.00,0.00,Base Set,Common,1,Assist,3342,99.00,12.50
DeMarcus Cousins,MIL,1.82,Base Set,Common,2,3 Pointer,15000,6.00,0.00,Run It Back,Rare,1,Dunk,275,1400.00,0.00
Jeremy Lamb,IND,1.82,Base Set,Common,2,3 Pointer,12000,11.00,-8.33,Base Set,Common,2,3 Pointer,12000,11.00,-8.33
Onyeka Okongwu,ATL,1.79,Base Set,Common,2,Dunk,40000,5.00,0.00,Base Set,Common,2,Dunk,4000,70.00,-4.11
